#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  21100      2.25e-01    1.02e-02      1.36e-03    1.65e-03      5.92e-02    1.12e-03    1.3e-05
  21200      1.92e-01    1.33e-02      2.08e-03    1.73e-03      5.03e-02    2.41e-03    1.3e-05
  21300      1.88e-01    1.02e-01      1.58e-03    1.16e-03      4.95e-02    2.68e-02    1.3e-05
  21400      2.20e-01    3.62e-02      1.23e-02    6.13e-03      5.50e-02    2.94e-03    1.3e-05
  21500      1.81e-01    3.67e-02      4.83e-03    5.21e-03      4.93e-02    6.13e-03    1.2e-05
  21600      1.77e-01    2.88e-02      5.60e-03    3.00e-03      4.78e-02    6.45e-03    1.2e-05
  21700      1.45e-01    4.18e-02      1.83e-03    9.20e-04      3.98e-02    1.14e-02    1.2e-05
  21800      1.56e-01    2.79e-02      6.13e-03    3.01e-03      4.21e-02    6.13e-03    1.2e-05
  21900      1.81e-01    6.13e-02      1.51e-02    6.52e-03      4.39e-02    1.35e-02    1.2e-05
  22000      1.85e-01    3.21e-02      1.75e-03    3.99e-04      5.33e-02    9.27e-03    1.1e-05
  22100      2.02e-01    4.22e-02      2.84e-03    1.26e-03      5.81e-02    1.20e-02    1.1e-05
  22200      1.72e-01    1.68e-02      2.62e-03    1.10e-03      4.95e-02    4.52e-03    1.1e-05
  22300      1.32e-01    4.14e-02      1.96e-03    2.92e-03      3.80e-02    1.10e-02    1.1e-05
  22400      2.06e-01    2.83e-02      6.25e-03    2.18e-03      5.85e-02    7.37e-03    1.1e-05
  22500      1.78e-01    7.79e-02      3.28e-03    2.88e-03      5.35e-02    2.31e-02    9.9e-06
  22600      1.66e-01    2.13e-02      3.43e-03    1.42e-03      5.01e-02    5.98e-03    9.9e-06
  22700      1.33e-01    4.54e-02      2.10e-03    5.06e-03      4.01e-02    1.07e-02    9.9e-06
  22800      1.51e-01    3.20e-02      2.22e-03    3.63e-03      4.56e-02    7.45e-03    9.9e-06
  22900      1.58e-01    1.42e-02      1.61e-03    2.29e-03      4.77e-02    1.83e-03    9.9e-06
  23000      1.36e-01    1.82e-02      2.75e-03    1.60e-03      4.30e-02    5.01e-03    8.9e-06
  23100      1.47e-01    1.58e-02      6.31e-03    1.09e-03      4.51e-02    4.64e-03    8.9e-06
  23200      1.53e-01    4.57e-02      1.37e-03    1.22e-03      4.87e-02    1.43e-02    8.9e-06
  23300      1.51e-01    1.41e-02      2.64e-03    1.82e-03      4.76e-02    3.08e-03    8.9e-06
  23400      1.60e-01    3.12e-02      2.16e-03    1.17e-03      5.07e-02    9.70e-03    8.9e-06
  23500      1.59e-01    6.19e-02      1.94e-03    1.32e-03      5.26e-02    2.04e-02    8.1e-06
  23600      1.37e-01    2.82e-02      1.47e-03    1.18e-03      4.54e-02    9.10e-03    8.1e-06
  23700      1.30e-01    2.43e-02      2.11e-03    3.61e-03      4.30e-02    4.39e-03    8.1e-06
  23800      1.45e-01    2.36e-02      1.81e-03    1.28e-03      4.80e-02    7.47e-03    8.1e-06
  23900      2.22e-01    4.96e-03      2.30e-03    2.91e-04      7.37e-02    1.56e-03    8.1e-06
  24000      1.39e-01    2.07e-02      2.64e-03    9.77e-04      4.80e-02    6.92e-03    7.3e-06
  24100      1.22e-01    3.49e-02      2.24e-03    2.56e-03      4.20e-02    1.11e-02    7.3e-06
  24200      1.29e-01    6.65e-02      3.13e-03    1.26e-03      4.45e-02    2.30e-02    7.3e-06
  24300      1.43e-01    1.72e-02      2.86e-03    1.18e-03      4.93e-02    5.52e-03    7.3e-06
  24400      1.54e-01    2.80e-02      5.80e-03    3.57e-03      5.21e-02    6.77e-03    7.3e-06
  24500      1.36e-01    1.26e-02      3.24e-03    1.68e-03      4.84e-02    3.02e-03    6.6e-06
  24600      1.44e-01    2.52e-02      4.58e-03    1.13e-03      5.14e-02    8.88e-03    6.6e-06
  24700      1.58e-01    1.20e-02      1.67e-03    1.21e-03      5.74e-02    3.59e-03    6.6e-06
  24800      1.24e-01    6.22e-02      3.04e-03    6.07e-03      4.48e-02    1.89e-02    6.6e-06
  24900      1.43e-01    1.68e-02      2.76e-03    1.21e-03      5.19e-02    5.59e-03    6.6e-06
  25000      1.24e-01    6.06e-02      1.39e-03    3.42e-03      4.72e-02    2.18e-02    5.9e-06
  25100      1.07e-01    5.08e-02      1.95e-03    1.92e-03      4.06e-02    1.89e-02    5.9e-06
  25200      1.46e-01    2.69e-02      1.72e-03    1.47e-03      5.53e-02    9.74e-03    5.9e-06
